"","x"
"1",6.68706099827132e-08
"2",9.31822525028898e-08
"3",1.15630176731839e-08
"4",6.9112240479346e-08
"5",1.63184624588279e-08
"6",1.31036769438834e-08
"7",3.95799437356119e-08
"8",5.60903983282615e-08
"9",6.47531621681015e-08
"10",1.10512223528488e-08
"11",5.94143389708245e-08
"12",5.44088070837521e-08
"13",5.58489845993665e-08
"14",9.41578305058761e-08
"15",5.25601481741416e-08
"16",9.66622633183898e-08
"17",6.27027698939399e-08
"18",1.23415497772508e-08
"19",8.57459158450057e-08
"20",1.08272725953666e-08
"21",8.66231997750315e-08
"22",3.61261336774153e-08
"23",1.23484748620211e-08
"24",1.14562828226487e-08
"25",9.13474524979839e-08
"26",9.17323360472615e-09
"27",1.666737716505e-08
"28",9.93264734793526e-09
"29",1.20454902214403e-08
"30",1.09436072275664e-08
"31",2.75539187936657e-08
"32",5.63076549431265e-08
"33",1.08192755500151e-08
"34",8.69261862768694e-09
"35",1.03207156917009e-07
"36",8.72872531720266e-09
"37",9.94205424425985e-08
"38",9.06615669503773e-09
"39",6.80390123540498e-08
"40",7.02732769966443e-08
"41",5.45001238387056e-08
"42",8.18906484356255e-09
"43",8.26969620726484e-09
"44",6.8093026665692e-08
"45",3.47818225762382e-08
"46",5.8207894644977e-08
"47",1.76145828661854e-08
"48",8.50294192795283e-09
"49",5.59303074730116e-08
"50",1.15387871193222e-08
"51",8.31143477112547e-08
"52",8.22594459784903e-08
"53",8.16984426296195e-09
"54",1.61622662837707e-08
"55",8.04742286283879e-08
"56",2.13123488400222e-08
"57",6.62813111819904e-08
"58",8.4809725589777e-09
"59",1.05370409128135e-08
"60",1.18071288294832e-08
"61",3.70672340512303e-08
"62",5.61092102667461e-08
"63",5.96910615501456e-08
"64",7.20505831872638e-08
"65",7.52256760527068e-08
"66",7.8078949581623e-08
"67",2.76499458286818e-08
"68",6.6860937534748e-08
"69",3.1146641798618e-08
"70",5.0697493816156e-08
"71",8.78543981436964e-09
"72",8.57376623946962e-09
"73",9.13720670162356e-09
"74",1.46919728325968e-08
"75",5.05207104683258e-08
"76",1.56166487363844e-08
"77",9.54568129963944e-08
"78",8.15600088878671e-08
"79",6.42728976707831e-08
"80",8.56867202131287e-09
"81",2.09664842688715e-08
"82",2.91777817131438e-08
"83",3.77247160681738e-08
"84",4.91041750946907e-08
"85",7.35725726833785e-08
"86",1.0457483104185e-08
"87",1.11209428327727e-08
"88",1.16462454910486e-08
"89",8.86348377468639e-08
"90",1.26493111893409e-08
"91",9.14971911935641e-08
"92",2.67200663172853e-08
"93",8.98861708154328e-09
"94",3.7334100422871e-08
"95",6.88970859775308e-08
"96",7.36646113249738e-08
"97",1.13329541594098e-08
"98",9.07251496292968e-08
"99",8.64941604005348e-08
"100",6.72479799322937e-08
"101",1.11488123743813e-08
"102",3.21428757129572e-08
"103",9.29438603740546e-08
"104",8.85370994158114e-08
"105",8.76006230737927e-08
"106",1.33845102519774e-08
"107",8.55866077969168e-09
"108",3.07446956247328e-08
"109",9.01965848148449e-08
"110",1.62922832186703e-08
"111",3.65011930412471e-08
"112",3.24388177664537e-08
"113",7.71996454670115e-08
"114",9.85864327526987e-09
"115",8.5578770166502e-08
"116",9.21728460463663e-09
"117",7.32782036677556e-08
"118",1.0034577332146e-08
"119",5.67118067936584e-08
"120",9.20990371103794e-08
"121",9.24250281752362e-09
"122",3.17845027169389e-08
"123",5.73818889303704e-08
"124",9.1499965894253e-08
"125",7.6186956154885e-08
"126",7.91345625211809e-08
"127",7.55593571169509e-08
"128",1.08186882038255e-08
"129",9.05902533794518e-08
"130",5.19802591410225e-08
"131",5.01202042114657e-08
"132",8.26615005294126e-09
"133",8.88882419910351e-09
"134",9.5563070958265e-09
"135",2.11322968785073e-08
"136",1.58284150707517e-08
"137",3.96248410938084e-08
"138",1.9214654503664e-08
"139",6.87145107803649e-08
"140",3.14014110352734e-08
"141",8.19517668818923e-08
"142",8.25830771073149e-08
"143",7.2595647894339e-08
"144",9.87746307526885e-09
"145",8.06177422190062e-08
"146",1.09493131840751e-08
"147",1.52644084440947e-08
"148",8.70496141064021e-08
"149",1.41981323118168e-08
