size.time,mean.prob
250kmCurrent,3.42E-08
250kmCurrent,7.20E-08
250kmCurrent,3.49E-08
250kmCurrent,5.03E-08
250kmCurrent,4.78E-08
250kmCurrent,4.49E-08
250kmCurrent,6.69E-08
250kmCurrent,6.80E-08
250kmCurrent,3.67E-08
250kmCurrent,7.16E-08
250kmCurrent,3.55E-08
250kmCurrent,7.25E-08
250kmCurrent,7.30E-08
250kmCurrent,3.53E-08
250kmCurrent,7.26E-08
250kmCurrent,3.61E-08
250kmCurrent,6.54E-08
250kmCurrent,3.52E-08
250kmCurrent,7.03E-08
250kmCurrent,3.96E-08
250kmCurrent,2.67E-08
250kmCurrent,4.88E-08
250kmCurrent,7.27E-08
250kmCurrent,4.42E-08
250kmCurrent,4.19E-08
250kmCurrent,4.14E-08
250kmCurrent,2.26E-08
250kmCurrent,3.61E-08
250kmCurrent,7.05E-08
250kmCurrent,3.49E-08
250kmCurrent,6.66E-08
250kmCurrent,3.73E-08
250kmCurrent,6.38E-08
250kmCurrent,6.59E-08
250kmCurrent,6.96E-08
250kmCurrent,2.98E-08
250kmCurrent,3.38E-08
250kmCurrent,6.69E-08
250kmCurrent,7.02E-08
250kmCurrent,2.37E-08
250kmCurrent,3.53E-08
250kmCurrent,6.92E-08
250kmCurrent,2.15E-08
250kmCurrent,3.89E-08
250kmCurrent,7.36E-08
250kmCurrent,7.37E-08
250kmCurrent,2.53E-08
250kmCurrent,6.68E-08
250kmCurrent,3.45E-08
250kmCurrent,6.74E-08
250kmCurrent,6.34E-08
250kmCurrent,4.06E-08
250kmCurrent,6.39E-08
250kmCurrent,6.55E-08
250kmCurrent,3.67E-08
250kmCurrent,6.50E-08
250kmCurrent,7.13E-08
250kmCurrent,6.81E-08
250kmCurrent,3.54E-08
250kmCurrent,2.46E-08
250kmCurrent,5.15E-08
250kmCurrent,7.21E-08
250kmCurrent,6.51E-08
250kmCurrent,7.21E-08
250kmCurrent,4.62E-08
250kmCurrent,3.98E-08
250kmCurrent,3.33E-08
250kmCurrent,7.29E-08
250kmCurrent,3.74E-08
250kmCurrent,4.33E-08
250kmCurrent,7.12E-08
250kmCurrent,2.60E-08
250kmCurrent,3.66E-08
250kmCurrent,7.29E-08
250kmCurrent,3.94E-08
250kmCurrent,3.66E-08
250kmCurrent,3.54E-08
250kmCurrent,7.18E-08
250kmCurrent,6.45E-08
250kmCurrent,3.66E-08
250kmCurrent,3.96E-08
250kmCurrent,6.53E-08
250kmCurrent,3.40E-08
250kmCurrent,5.35E-08
250kmCurrent,3.47E-08
250kmCurrent,3.57E-08
250kmCurrent,3.52E-08
250kmCurrent,6.81E-08
250kmCurrent,3.42E-08
250kmCurrent,7.04E-08
250kmCurrent,2.33E-08
250kmCurrent,3.91E-08
250kmCurrent,3.48E-08
250kmCurrent,2.00E-08
250kmCurrent,2.89E-08
250kmCurrent,2.72E-08
250kmCurrent,7.12E-08
250kmCurrent,5.19E-08
250kmCurrent,6.71E-08
250kmCurrent,2.39E-08
250kmCurrent,6.24E-08
250kmCurrent,6.46E-08
250kmCurrent,6.60E-08
250kmCurrent,7.28E-08
250kmCurrent,3.63E-08
250kmCurrent,3.57E-08
250kmCurrent,6.65E-08
250kmCurrent,4.33E-08
250kmCurrent,3.69E-08
250kmCurrent,7.03E-08
250kmCurrent,2.51E-08
250kmCurrent,7.34E-08
250kmCurrent,4.53E-08
250kmCurrent,6.80E-08
250kmCurrent,3.74E-08
250kmCurrent,7.23E-08
250kmCurrent,5.65E-08
250kmCurrent,6.46E-08
250kmCurrent,3.76E-08
250kmCurrent,7.21E-08
250kmCurrent,4.93E-08
250kmCurrent,6.60E-08
250kmCurrent,6.78E-08
250kmCurrent,4.61E-08
250kmCurrent,3.92E-08
250kmCurrent,6.91E-08
250kmCurrent,3.44E-08
250kmCurrent,3.89E-08
250kmCurrent,7.22E-08
250kmCurrent,2.63E-08
250kmCurrent,6.62E-08
250kmCurrent,3.48E-08
250kmCurrent,7.24E-08
250kmCurrent,3.00E-08
250kmCurrent,5.77E-08
250kmCurrent,3.44E-08
250kmCurrent,3.77E-08
250kmCurrent,3.27E-08
250kmCurrent,3.15E-08
250kmCurrent,3.67E-08
250kmCurrent,3.29E-08
250kmCurrent,6.68E-08
250kmCurrent,3.12E-08
250kmCurrent,3.87E-08
250kmCurrent,6.56E-08
250kmCurrent,6.84E-08
250kmCurrent,3.55E-08
250kmCurrent,7.19E-08
250kmCurrent,5.79E-08
250kmCurrent,6.45E-08
250kmCurrent,4.07E-08
250kmCurrent,6.81E-08
250kmCurrent,7.19E-08
250kmCurrent,6.57E-08
250kmCurrent,6.70E-08
250kmCurrent,3.83E-08
250kmCurrent,3.39E-08
250kmCurrent,6.45E-08
250kmCurrent,5.65E-08
250kmCurrent,3.89E-08
250kmCurrent,4.15E-08
250kmCurrent,2.87E-08
250kmCurrent,3.60E-08
250kmCurrent,6.34E-08
250kmCurrent,3.90E-08
250kmCurrent,4.84E-08
250kmCurrent,4.81E-08
250kmCurrent,2.59E-08
250kmCurrent,3.53E-08
250kmCurrent,3.21E-08
250kmCurrent,4.02E-08
250kmCurrent,4.23E-08
250kmCurrent,6.14E-08
250kmCurrent,3.72E-08
250kmCurrent,3.50E-08
250kmCurrent,5.63E-08
250kmCurrent,3.63E-08
250kmCurrent,3.22E-08
250kmCurrent,1.65E-08
250kmCurrent,6.46E-08
250kmCurrent,6.61E-08
250kmCurrent,7.03E-08
250kmCurrent,4.82E-08
250kmCurrent,2.03E-08
250kmCurrent,3.68E-08
250kmCurrent,3.64E-08
250kmCurrent,6.78E-08
250kmCurrent,3.57E-08
250kmCurrent,3.52E-08
250kmCurrent,3.86E-08
250kmCurrent,3.70E-08
250kmCurrent,3.79E-08
250kmCurrent,6.60E-08
250kmCurrent,7.26E-08
250kmCurrent,3.71E-08
250kmCurrent,3.61E-08
250kmCurrent,6.62E-08
250kmCurrent,6.28E-08
250kmCurrent,6.95E-08
250kmCurrent,1.83E-08
250kmCurrent,3.61E-08
250kmCurrent,2.28E-08
250kmCurrent,6.67E-08
250kmCurrent,6.95E-08
250kmCurrent,5.39E-08
250kmCurrent,5.73E-08
250kmCurrent,4.70E-08
250kmCurrent,3.78E-08
250kmCurrent,7.07E-08
250kmCurrent,6.46E-08
250kmCurrent,6.61E-08
250kmCurrent,5.48E-08
250kmCurrent,2.31E-08
250kmCurrent,4.05E-08
250kmCurrent,6.62E-08
250kmCurrent,4.92E-08
250kmCurrent,6.97E-08
250kmCurrent,3.75E-08
250kmCurrent,6.58E-08
250kmCurrent,3.66E-08
250kmCurrent,3.25E-08
250kmCurrent,4.61E-08
250kmCurrent,5.21E-08
250kmCurrent,4.08E-08
250kmCurrent,3.89E-08
250kmCurrent,6.52E-08
250kmCurrent,7.11E-08
250kmCurrent,1.72E-08
250kmCurrent,4.09E-08
250kmCurrent,5.76E-08
250kmCurrent,3.50E-08
250kmCurrent,4.55E-08
250kmCurrent,7.28E-08
250kmCurrent,1.80E-08
250kmCurrent,4.09E-08
250kmCurrent,3.37E-08
250kmCurrent,4.16E-08
250kmCurrent,3.90E-08
250kmCurrent,3.88E-08
250kmCurrent,3.57E-08
250kmCurrent,6.26E-08
250kmCurrent,6.08E-08
250kmCurrent,7.01E-08
250kmCurrent,3.84E-08
250kmCurrent,1.90E-08
250kmCurrent,6.62E-08
250kmCurrent,2.47E-08
250kmCurrent,4.12E-08
250kmCurrent,3.81E-08
250kmCurrent,7.31E-08
250kmCurrent,4.68E-08
250kmCurrent,3.97E-08
250kmCurrent,3.45E-08
250kmCurrent,3.42E-08
250kmCurrent,4.50E-08
250kmCurrent,7.20E-08
250kmCurrent,1.91E-08
250kmCurrent,6.83E-08
250kmCurrent,3.69E-08
250kmCurrent,3.03E-08
250kmCurrent,3.72E-08
250kmCurrent,7.22E-08
250kmCurrent,2.58E-08
250kmCurrent,1.76E-08
250kmCurrent,3.77E-08
250kmCurrent,5.30E-08
250kmCurrent,3.60E-08
250kmCurrent,1.73E-08
250kmCurrent,4.30E-08
250kmCurrent,3.77E-08
250kmCurrent,6.51E-08
250kmCurrent,4.77E-08
250kmCurrent,6.67E-08
250kmCurrent,3.68E-08
250kmCurrent,7.21E-08
250kmCurrent,2.55E-08
250kmCurrent,2.08E-08
