size.time,mean.prob
50kmCurrent,9.20E-08
50kmCurrent,7.23E-08
50kmCurrent,9.41E-09
50kmCurrent,1.12E-07
50kmCurrent,6.80E-08
50kmCurrent,1.03E-08
50kmCurrent,8.72E-08
50kmCurrent,8.73E-08
50kmCurrent,8.49E-08
50kmCurrent,8.67E-08
50kmCurrent,8.18E-08
50kmCurrent,9.00E-09
50kmCurrent,1.14E-08
50kmCurrent,5.09E-08
50kmCurrent,2.49E-08
50kmCurrent,9.82E-08
50kmCurrent,1.03E-08
50kmCurrent,8.89E-08
50kmCurrent,8.27E-08
50kmCurrent,1.19E-08
50kmCurrent,8.05E-09
50kmCurrent,8.73E-08
50kmCurrent,6.18E-08
50kmCurrent,9.38E-09
50kmCurrent,1.17E-08
50kmCurrent,7.59E-08
50kmCurrent,8.58E-09
50kmCurrent,8.19E-08
50kmCurrent,7.08E-08
50kmCurrent,9.13E-08
50kmCurrent,9.09E-08
50kmCurrent,8.10E-09
50kmCurrent,4.29E-08
50kmCurrent,9.05E-08
50kmCurrent,4.01E-08
50kmCurrent,8.95E-09
50kmCurrent,9.42E-09
50kmCurrent,6.32E-08
50kmCurrent,1.77E-08
50kmCurrent,7.97E-08
50kmCurrent,1.06E-08
50kmCurrent,9.92E-08
50kmCurrent,9.61E-08
50kmCurrent,9.56E-09
50kmCurrent,5.80E-08
50kmCurrent,1.11E-08
50kmCurrent,1.32E-08
50kmCurrent,1.21E-08
50kmCurrent,9.14E-08
50kmCurrent,5.52E-08
50kmCurrent,8.60E-08
50kmCurrent,1.71E-08
50kmCurrent,8.11E-08
50kmCurrent,8.64E-09
50kmCurrent,1.04E-08
50kmCurrent,9.02E-09
50kmCurrent,2.29E-08
50kmCurrent,6.02E-08
50kmCurrent,8.53E-09
50kmCurrent,8.96E-08
50kmCurrent,7.42E-08
50kmCurrent,5.16E-08
50kmCurrent,9.11E-08
50kmCurrent,5.61E-08
50kmCurrent,7.98E-08
50kmCurrent,5.51E-08
50kmCurrent,5.97E-08
50kmCurrent,4.91E-08
50kmCurrent,1.07E-08
50kmCurrent,5.51E-08
50kmCurrent,7.24E-08
50kmCurrent,5.56E-08
50kmCurrent,8.85E-08
50kmCurrent,1.01E-07
50kmCurrent,9.31E-08
50kmCurrent,8.30E-08
50kmCurrent,8.76E-09
50kmCurrent,1.15E-08
50kmCurrent,2.24E-08
50kmCurrent,4.81E-08
50kmCurrent,9.27E-09
50kmCurrent,7.79E-08
50kmCurrent,1.54E-08
50kmCurrent,5.72E-08
50kmCurrent,4.75E-08
50kmCurrent,9.80E-09
50kmCurrent,2.58E-08
50kmCurrent,9.87E-09
50kmCurrent,1.71E-08
50kmCurrent,7.79E-08
50kmCurrent,2.91E-08
50kmCurrent,9.39E-09
50kmCurrent,1.09E-08
50kmCurrent,4.53E-08
50kmCurrent,9.24E-09
50kmCurrent,1.98E-08
50kmCurrent,9.53E-08
50kmCurrent,8.04E-09
50kmCurrent,8.08E-08
50kmCurrent,1.02E-07
50kmCurrent,1.60E-08
50kmCurrent,7.31E-08
50kmCurrent,2.59E-08
50kmCurrent,9.92E-09
50kmCurrent,8.96E-09
50kmCurrent,6.43E-08
50kmCurrent,9.45E-08
50kmCurrent,2.26E-08
50kmCurrent,2.46E-08
50kmCurrent,6.14E-08
50kmCurrent,7.20E-08
50kmCurrent,6.73E-08
50kmCurrent,5.15E-08
50kmCurrent,7.15E-08
50kmCurrent,8.86E-08
50kmCurrent,7.03E-08
50kmCurrent,6.23E-08
50kmCurrent,1.15E-08
50kmCurrent,4.34E-08
50kmCurrent,8.06E-08
50kmCurrent,9.01E-09
50kmCurrent,7.62E-08
50kmCurrent,9.09E-09
50kmCurrent,7.09E-08
50kmCurrent,1.66E-08
50kmCurrent,6.36E-08
50kmCurrent,8.55E-09
50kmCurrent,9.24E-08
50kmCurrent,5.62E-08
50kmCurrent,5.13E-08
50kmCurrent,7.56E-08
50kmCurrent,1.01E-08
50kmCurrent,9.92E-09
50kmCurrent,4.91E-08
50kmCurrent,9.70E-08
50kmCurrent,4.32E-08
50kmCurrent,5.64E-08
50kmCurrent,8.99E-09
50kmCurrent,4.71E-08
50kmCurrent,1.03E-08
50kmCurrent,5.87E-08
50kmCurrent,1.05E-07
50kmCurrent,7.40E-08
50kmCurrent,5.19E-08
50kmCurrent,2.94E-08
50kmCurrent,7.77E-08
50kmCurrent,8.24E-08
50kmCurrent,1.07E-07
50kmCurrent,2.81E-08
50kmCurrent,1.09E-08
50kmCurrent,5.76E-08
50kmCurrent,9.24E-08
50kmCurrent,3.11E-08
50kmCurrent,7.37E-08
50kmCurrent,4.45E-08
50kmCurrent,9.31E-09
50kmCurrent,8.86E-09
50kmCurrent,1.45E-08
50kmCurrent,9.27E-08
50kmCurrent,5.27E-08
50kmCurrent,8.26E-08
50kmCurrent,9.49E-09
50kmCurrent,5.03E-08
50kmCurrent,1.58E-08
50kmCurrent,8.03E-09
50kmCurrent,8.54E-08
50kmCurrent,9.08E-09
50kmCurrent,8.31E-08
50kmCurrent,8.31E-08
50kmCurrent,7.30E-08
50kmCurrent,8.47E-08
50kmCurrent,3.05E-08
50kmCurrent,8.55E-09
50kmCurrent,8.88E-08
50kmCurrent,8.47E-08
50kmCurrent,3.34E-08
50kmCurrent,8.22E-08
50kmCurrent,3.07E-08
50kmCurrent,8.82E-08
50kmCurrent,9.17E-08
50kmCurrent,5.45E-08
50kmCurrent,2.91E-08
50kmCurrent,4.50E-08
50kmCurrent,8.42E-08
50kmCurrent,9.18E-08
50kmCurrent,5.10E-08
50kmCurrent,8.25E-08
50kmCurrent,1.06E-08
50kmCurrent,6.78E-08
50kmCurrent,7.86E-08
50kmCurrent,9.08E-09
50kmCurrent,5.54E-08
50kmCurrent,8.54E-09
50kmCurrent,3.77E-08
50kmCurrent,7.75E-08
50kmCurrent,3.81E-08
50kmCurrent,5.59E-08
50kmCurrent,5.84E-08
50kmCurrent,8.81E-09
50kmCurrent,3.65E-08
50kmCurrent,3.07E-08
50kmCurrent,8.23E-08
50kmCurrent,9.06E-08
50kmCurrent,4.93E-08
50kmCurrent,6.67E-08
50kmCurrent,4.50E-08
50kmCurrent,6.83E-08
50kmCurrent,1.18E-08
50kmCurrent,6.38E-08
50kmCurrent,8.71E-08
50kmCurrent,8.89E-08
