"","x"
"1",3.97464402607545e-08
"2",1.7876942010272e-08
"3",1.55065226201554e-08
"4",1.95234618464729e-08
"5",3.52136797505935e-08
"6",1.48874627276899e-08
"7",3.4638121441341e-08
"8",3.81790845409933e-08
"9",3.69667182024164e-08
"10",2.47298831864294e-08
"11",1.318497990006e-08
"12",3.97789189365655e-08
"13",3.91415687356606e-08
"14",3.78391856624447e-08
"15",2.42114853179467e-08
"16",3.25108002362229e-08
"17",1.35293743943729e-08
"18",3.88221960682715e-08
"19",2.99811456715656e-08
"20",3.09774156444509e-08
"21",1.12117996089972e-08
"22",2.81676694952213e-08
"23",1.26244393360425e-08
"24",1.6140141667569e-08
"25",2.19988148629291e-08
"26",1.37761486528701e-08
"27",3.91534821101338e-08
"28",1.71192978660663e-08
"29",3.97385378835845e-08
"30",1.31569517138086e-08
"31",1.4024004900981e-08
"32",4.36224644260665e-08
"33",8.64927049582696e-09
"34",4.07021798738872e-08
"35",1.30726822695725e-08
"36",3.8248912808168e-08
"37",4.10387793825971e-08
"38",1.08403817539216e-08
"39",4.19332169851709e-08
"40",1.48863855671468e-08
"41",3.56126696036746e-08
"42",1.82708117421651e-08
"43",3.93239670262515e-08
"44",3.92924704189256e-08
"45",4.00341674948626e-08
"46",2.50051753507016e-08
"47",1.67589759770983e-08
"48",3.89084810522007e-08
"49",3.83536030364109e-08
"50",1.18165625860605e-08
"51",3.80168031306376e-08
"52",3.67552470721131e-08
"53",4.14926315168571e-08
"54",2.86264955981267e-08
"55",3.85037111226593e-08
"56",1.03627384050256e-08
"57",1.57564358450073e-08
"58",1.39457742017825e-08
"59",1.31057832016489e-08
"60",2.13280255325455e-08
"61",1.17573491015058e-08
"62",2.64137316449182e-08
"63",1.4791940270476e-08
"64",3.61342876207479e-08
"65",2.37835013953452e-08
"66",1.591277553971e-08
"67",1.36191676745777e-08
"68",9.59184976774445e-09
"69",3.66368755945584e-08
"70",3.94306059581814e-08
"71",1.57169544891171e-08
"72",1.40459571987823e-08
"73",1.03606661266307e-08
"74",3.71848338212943e-08
"75",4.11491634610799e-08
"76",1.0770038405115e-08
"77",4.01971457636228e-08
"78",1.68702264589363e-08
"79",1.30077797299755e-08
"80",1.92495251727578e-08
"81",1.3640864515953e-08
"82",4.02063289802655e-08
"83",1.46947811244047e-08
"84",2.49707469880189e-08
"85",2.20709443143661e-08
"86",4.28592245111574e-08
"87",3.85332202108895e-08
"88",1.39888545348995e-08
"89",1.36815906156904e-08
"90",3.84786003397563e-08
"91",4.58430132356097e-08
"92",1.34334100930054e-08
"93",1.67040285148466e-08
"94",3.04388000520272e-08
"95",3.99926600864068e-08
"96",3.74515683103998e-08
"97",4.08559015947929e-08
"98",1.23287601374511e-08
"99",2.40508755720981e-08
"100",3.68531372259945e-08
"101",1.83341277224531e-08
"102",1.04885840376326e-08
"103",8.81675026821012e-09
"104",4.13085677910702e-08
"105",2.60864595344128e-08
"106",3.49383419305843e-08
"107",1.7103482771947e-08
"108",1.32654964602028e-08
"109",2.19747758531334e-08
"110",4.00318174393565e-08
"111",4.05111568521996e-08
"112",1.42747680390081e-08
"113",1.55184978046671e-08
"114",1.13543357145129e-08
"115",1.42407736268029e-08
"116",1.33460368268077e-08
"117",2.6256602174234e-08
"118",1.64282177277425e-08
"119",4.48169427126146e-08
"120",2.09376792426403e-08
"121",3.69046295587105e-08
"122",1.52939955918561e-08
"123",7.24072938192283e-09
"124",1.32593183692653e-08
"125",3.50593332928695e-08
"126",7.80639120319365e-09
"127",2.1416184356937e-08
"128",1.34373549059332e-08
"129",1.48567463200742e-08
"130",3.02063177312235e-08
"131",2.37455378935587e-08
"132",1.21049968335202e-08
"133",3.9561558102527e-08
"134",3.98405785287194e-08
"135",3.92149272854732e-08
"136",1.10388535467811e-08
"137",1.33226674026923e-08
"138",2.21287179636726e-08
"139",3.7933618679586e-08
"140",1.75220262600763e-08
"141",2.79121617929407e-08
"142",1.1830890088413e-08
"143",3.33956708329813e-08
"144",2.01278755865654e-08
"145",2.95558989720846e-08
"146",1.3324083265343e-08
"147",1.98418863775248e-08
"148",1.39210110166254e-08
"149",8.46020479895894e-09
"150",1.42183297258615e-08
"151",3.9132641144684e-08
"152",3.91043527266029e-08
"153",3.822555577489e-08
"154",3.50977016018551e-08
"155",1.36928693148264e-08
"156",1.8809994923539e-08
"157",3.88142419138964e-08
"158",1.43626392274872e-08
"159",3.06498491095801e-08
"160",1.26090824936735e-08
"161",2.10778815412607e-08
"162",3.40724155276364e-08
"163",1.52018810148313e-08
"164",3.74675528942872e-08
"165",3.67608879875011e-08
"166",1.42378208841355e-08
"167",1.23753107156756e-08
"168",3.22048887483893e-08
"169",1.47550526125145e-08
"170",3.23714884788718e-08
"171",1.10284766830938e-08
"172",8.70555812411428e-09
"173",3.7740426893467e-08
"174",4.60807491479379e-08
"175",3.88069293157189e-08
"176",2.76982119652724e-08
"177",3.87252126273628e-08
"178",7.5139964157183e-09
"179",1.26104081987232e-08
"180",2.20372907619077e-08
"181",3.08724663613432e-08
"182",2.77023427635791e-08
"183",2.01376993642819e-08
"184",7.11339573163519e-09
"185",1.34093265215839e-08
"186",3.11608555609568e-08
"187",1.42908554313114e-08
"188",3.76712583576364e-08
"189",1.46433085250247e-08
"190",3.94814326959215e-08
"191",1.3578749578244e-08
"192",1.10025084545743e-08
"193",3.01490835200232e-08
"194",7.56569882329783e-09
"195",1.34084823771283e-08
"196",3.80911703981513e-08
"197",1.43932135411766e-08
"198",8.08172866762877e-09
"199",2.12995855761011e-08
"200",3.51136012991684e-08
"201",1.39478067495788e-08
"202",1.4995144561475e-08
"203",4.27004430818454e-08
"204",3.97390514455147e-08
"205",8.35327704136005e-09
"206",3.27491233114632e-08
"207",4.33071944777406e-08
"208",7.1739266171046e-09
"209",1.82950575579615e-08
"210",8.50266866946386e-09
"211",1.8607152439243e-08
"212",4.27359250511769e-08
"213",1.65491555020434e-08
"214",3.93216360951561e-08
"215",9.21106787947194e-09
"216",2.71359032094907e-08
"217",3.62729573617069e-08
"218",3.81530207106084e-08
"219",1.30271847260557e-08
"220",1.4792267032917e-08
"221",7.23255773986638e-09
"222",4.26379046800865e-08
"223",4.02752994893948e-08
"224",1.46560342667357e-08
"225",3.96353798731106e-08
"226",1.3268957091468e-08
"227",1.61687704183163e-08
"228",1.33536459318941e-08
"229",3.63621967346391e-08
"230",2.47100996043031e-08
"231",3.44123466250907e-08
"232",1.48287869280605e-08
"233",3.77836930447682e-08
"234",3.95165562002109e-08
"235",2.39875305988869e-08
"236",7.62736803303570e-09
"237",4.20377527147701e-08
"238",9.37665495226296e-09
"239",1.56241243932677e-08
"240",4.2781889614003e-08
"241",1.51586429075453e-08
"242",3.90130059552801e-08
"243",4.29086983189117e-08
"244",1.31081375685576e-08
"245",1.0476701290029e-08
"246",1.19648451694554e-08
"247",1.6688526244876e-08
"248",3.17402182621037e-08
"249",9.66089830543537e-09
"250",1.33206806380377e-08
"251",8.66329980473245e-09
"252",8.89904924954892e-09
"253",8.24574212619791e-09
"254",2.58063102027008e-08
"255",1.35074091245911e-08
"256",9.54115068254895e-09
"257",1.42836820335932e-08
"258",3.97090174291493e-08
"259",1.26368052667824e-08
"260",1.66496440654021e-08
"261",9.35549930219801e-09
"262",4.14025425475808e-08
"263",3.60317570383812e-08
"264",8.02036088349673e-09
"265",1.44738234067735e-08
"266",2.44384636702164e-08
"267",1.49196768431269e-08
"268",1.62847589519909e-08
"269",1.36227999560528e-08
"270",1.4025666814801e-08
"271",3.90105273946197e-08
"272",3.9879625979495e-08
"273",8.36823841752033e-09
"274",3.61533205810954e-08
"275",1.31500840183654e-08
"276",3.55776741324603e-08
"277",4.1965131783578e-08
"278",1.58215607267532e-08
"279",1.39225590771355e-08
"280",3.25140542927291e-08
"281",2.96214954128007e-08
"282",4.20016836718203e-08
"283",2.61532829989321e-08
"284",1.987944827931e-08
"285",4.05834700146005e-08
"286",3.21989048193946e-08
"287",1.86960434653691e-08
"288",1.56835611617636e-08
"289",3.99588638826165e-08
"290",2.30949929974583e-08
"291",3.94693472688838e-08
"292",4.66417112599734e-08
"293",1.41692851775358e-08
"294",3.89926710661073e-08
"295",1.4864399893515e-08
"296",7.37949499014031e-09
"297",1.51230196376379e-08
"298",3.3721378480251e-08
"299",1.37750406967122e-08
"300",1.34403853649569e-08
"301",1.33494173470078e-08
"302",3.99558893481218e-08
"303",8.34668462416599e-09
"304",1.28061955146171e-08
"305",1.97324473953315e-08
"306",3.77250457446469e-08
"307",2.38832020604481e-08
"308",4.42502232277806e-08
"309",2.00408958088576e-08
"310",1.42359717162112e-08
"311",4.53384189991549e-08
"312",3.95926609596546e-08
"313",4.1614805337618e-08
"314",1.87393197533396e-08
"315",1.96834177074268e-08
"316",1.21050679516294e-08
"317",3.40473994300657e-08
"318",1.34207018231086e-08
"319",2.02154731971494e-08
"320",3.96232621287357e-08
"321",1.50975213731074e-08
